date,year,month,tempmax,tempmin,temp,precip
201201,2012,1,9.174193548387096,0.33225806451612905,4.753225806451613,1.8225161290322582
201202,2012,2,10.9448275862069,2.5896551724137935,6.767241379310345,2.0239655172413795
201203,2012,3,18.57741935483871,8.738709677419356,13.658064516129032,0.8870322580645159
201204,2012,4,19.603333333333335,9.31333333333333,14.458333333333332,1.5791333333333333
201205,2012,5,26.251612903225805,17.138709677419357,21.695161290322584,2.632677419354838
201206,2012,6,29.506666666666664,19.30333333333333,24.405000000000005,2.1079
201207,2012,7,33.377419354838715,23.967741935483875,28.67258064516129,2.258903225806452
201208,2012,8,31.322580645161292,22.335483870967746,26.829032258064515,2.3024193548387095
201209,2012,9,26.516666666666666,17.636666666666663,22.07666666666666,3.6143999999999994
201210,2012,10,20.04193548387097,11.948387096774194,15.995161290322576,6.7854838709677425
201211,2012,11,12.176666666666664,3.7533333333333325,7.965000000000002,0.5063
201212,2012,12,10.80322580645161,3.738709677419354,7.2709677419354835,2.621741935483871
201301,2013,1,8.07741935483871,0.990322580645161,4.533870967741936,2.1126451612903225
201302,2013,2,6.867857142857143,-0.10714285714285705,3.3803571428571426,1.564785714285714
201303,2013,3,10.348387096774193,2.5032258064516126,6.425806451612904,2.2588709677419354
201304,2013,4,20.083333333333336,9.633333333333335,14.858333333333336,2.3285666666666667
201305,2013,5,23.6258064516129,14.416129032258064,19.02096774193548,2.3200967741935483
201306,2013,6,28.699999999999992,20.356666666666662,24.528333333333332,8.170133333333332
201307,2013,7,30.783870967741944,23.419354838709676,27.1016129032258,3.6421935483870964
201308,2013,8,28.78387096774194,20.812903225806455,24.798387096774192,1.305516129032258
201309,2013,9,26.473333333333333,16.64333333333333,21.558333333333334,1.0101666666666669
201310,2013,10,20.858064516129033,12.519354838709676,16.688709677419357,5.057387096774194
201311,2013,11,12.266666666666664,3.8700000000000014,8.068333333333335,2.449533333333333
201312,2013,12,9.506451612903227,1.8290322580645157,5.66774193548387,4.340838709677419
201401,2014,1,4.422580645161289,-4.52258064516129,-0.049999999999999954,1.482
201402,2014,2,7.0857142857142845,-1.1464285714285716,2.969642857142857,3.514321428571429
201403,2014,3,10.832258064516127,1.1903225806451612,6.011290322580644,3.7472580645161293
201404,2014,4,18.963333333333335,8.833333333333334,13.898333333333333,5.481300000000001
201405,2014,5,25.109677419354835,15.129032258064514,20.11935483870968,3.5321935483870965
201406,2014,6,29.166666666666668,20.46999999999999,24.818333333333328,2.6772666666666662
201407,2014,7,30.516129032258057,21.764516129032252,26.140322580645158,3.258483870967742
201408,2014,8,29.132258064516126,21.048387096774196,25.09032258064516,2.939838709677419
201409,2014,9,26.98999999999999,18.683333333333334,22.836666666666666,1.0113999999999999
201410,2014,10,21.11290322580645,12.896774193548385,17.004838709677415,2.826612903225806
201411,2014,11,12.92333333333333,4.48,8.701666666666666,2.2799666666666667
201412,2014,12,9.454838709677418,3.3387096774193554,6.3967741935483895,2.9095806451612907
201501,2015,1,5.406451612903226,-1.8225806451612898,1.7919354838709673,3.1460322580645164
201502,2015,2,3.3750000000000004,-5.667857142857143,-1.1464285714285711,2.2765357142857146
201503,2015,3,12.058064516129036,2.577419354838709,7.31774193548387,3.3175483870967755
201504,2015,4,20.513333333333335,10.063333333333338,15.288333333333332,2.798866666666667
201505,2015,5,27.687096774193552,17.65483870967742,22.67096774193548,1.7180322580645162
201506,2015,6,29.480000000000004,21.146666666666672,25.31333333333334,10.015566666666668
201507,2015,7,30.97096774193549,23.33870967741936,27.154838709677417,4.237258064516129
201508,2015,8,30.674193548387095,21.309677419354845,25.991935483870968,1.0987741935483872
201509,2015,9,28.156666666666663,19.156666666666663,23.65666666666667,2.2266
201510,2015,10,19.325806451612905,10.603225806451613,14.964516129032257,2.6213548387096774
201511,2015,11,16.37666666666667,7.633333333333335,12.005000000000003,2.1702
201512,2015,12,14.654838709677424,6.806451612903227,10.730645161290324,3.830129032258065
201601,2016,1,5.519354838709677,-2.2483870967741937,1.6354838709677417,2.083838709677419
201602,2016,2,8.275862068965516,0.46896551724137925,4.372413793103449,3.300413793103448
201603,2016,3,16.935483870967747,6.832258064516129,11.883870967741935,0.9409677419354838
201604,2016,4,19.113333333333337,8.686666666666667,13.9,1.9040333333333335
201605,2016,5,21.403225806451616,13.838709677419354,17.620967741935484,4.670129032258064
201606,2016,6,28.983333333333338,19.863333333333337,24.423333333333336,3.1948333333333334
201607,2016,7,32.303225806451614,23.493548387096773,27.898387096774194,2.6712903225806452
201608,2016,8,32.529032258064525,23.32903225806452,27.92903225806451,2.247677419354839
201609,2016,9,28.150000000000002,20.480000000000008,24.315000000000005,2.2231333333333336
201610,2016,10,21.6,12.883870967741938,17.241935483870975,0.8219032258064517
201611,2016,11,16.263333333333332,6.433333333333333,11.348333333333334,0.9085
201612,2016,12,8.832258064516129,1.545161290322581,5.188709677419354,2.2267419354838713
201701,2017,1,8.909677419354837,2.3870967741935485,5.648387096774194,2.348967741935484
201702,2017,2,13.607142857142858,3.564285714285713,8.585714285714285,0.9641071428571427
201703,2017,3,13.16451612903226,3.509677419354839,8.337096774193547,2.7142903225806454
201704,2017,4,22.35666666666667,13.033333333333337,17.695,2.193633333333333
201705,2017,5,22.80322580645161,14.041935483870967,18.422580645161293,4.634774193548387
201706,2017,6,29.666666666666675,20.24666666666667,24.956666666666667,0.995366666666667
201707,2017,7,31.703225806451613,23.051612903225802,27.377419354838704,7.47558064516129
201708,2017,8,28.806451612903224,21.280645161290327,25.043548387096767,3.7403225806451617
201709,2017,9,26.643333333333338,17.983333333333334,22.31333333333334,1.272066666666667
201710,2017,10,22.606451612903232,13.625806451612906,18.116129032258062,1.700161290322581
201711,2017,11,14.496666666666671,5.276666666666666,9.886666666666665,1.6332666666666669
201712,2017,12,7.535483870967743,0.280645161290322,3.9080645161290324,0.4260322580645161
201801,2018,1,6.700000000000001,-2.7354838709677414,1.9822580645161294,0.8618709677419355
201802,2018,2,11.646428571428572,3.0321428571428575,7.3392857142857135,4.5248928571428575
201803,2018,3,10.483870967741934,2.0000000000000004,6.241935483870969,2.4363225806451614
201804,2018,4,17.660000000000004,7.573333333333334,12.616666666666665,3.0293333333333328
201805,2018,5,26.97741935483871,17.541935483870965,22.25967741935484,7.262161290322581
201806,2018,6,28.58,20.03666666666667,24.30833333333333,5.711899999999999
201807,2018,7,30.919354838709673,22.61935483870968,26.76935483870968,7.852806451612903
201808,2018,8,31.006451612903234,22.96774193548387,26.987096774193542,4.3665161290322585
201809,2018,9,27.230000000000008,20.723333333333333,23.976666666666663,8.397999999999998
201810,2018,10,20.729032258064525,13.041935483870965,16.885483870967743,2.637064516129032
201811,2018,11,11.343333333333332,4.626666666666667,7.985,6.375500000000001
201812,2018,12,9.654838709677417,2.967741935483871,6.311290322580644,4.880903225806452
201901,2019,1,6.37741935483871,-0.8193548387096774,2.7790322580645155,3.1727741935483875
201902,2019,2,9.525,1.4785714285714289,5.501785714285715,3.1877142857142857
201903,2019,3,12.69032258064516,3.6870967741935483,8.188709677419356,3.271741935483871
201904,2019,4,21.669999999999998,11.57,16.619999999999997,1.8894999999999997
201905,2019,5,25.838709677419356,17.025806451612905,21.432258064516123,4.0199354838709676
201906,2019,6,29.050000000000004,19.95666666666667,24.50333333333334,3.6188
201907,2019,7,32.30645161290323,23.0741935483871,27.690322580645166,5.252580645161291
201908,2019,8,30.98709677419355,21.93548387096774,26.461290322580638,1.7376451612903228
201909,2019,9,29.336666666666677,19.79,24.563333333333336,0.26186666666666664
201910,2019,10,22.029032258064518,13.609677419354842,17.819354838709675,4.792419354838709
201911,2019,11,11.896666666666667,3.7133333333333334,7.805000000000001,1.2389333333333334
201912,2019,12,9.303225806451612,1.8709677419354835,5.58709677419355,2.707935483870968
202001,2020,1,9.509677419354837,1.929032258064516,5.719354838709678,2.268
202002,2020,2,10.63103448275862,2.2965517241379314,6.4637931034482765,2.847586206896552
202003,2020,3,16.406451612903226,7.193548387096773,11.799999999999997,1.915
202004,2020,4,17.46333333333333,8.256666666666668,12.860000000000001,5.335066666666667
202005,2020,5,21.954838709677418,13.135483870967743,17.54516129032258,2.0410645161290324
202006,2020,6,29.166666666666675,20.363333333333333,24.764999999999997,3.0613
202007,2020,7,33.12580645161291,23.929032258064513,28.527419354838713,5.430774193548387
202008,2020,8,30.048387096774196,22.47096774193549,26.259677419354837,7.532451612903227
202009,2020,9,25.10000000000001,17.183333333333334,21.141666666666666,4.531733333333333
202010,2020,10,20.658064516129034,12.374193548387098,16.516129032258068,4.067903225806452
202011,2020,11,17.05666666666667,7.723333333333333,12.389999999999999,5.229133333333333
202012,2020,12,9.04193548387097,1.4935483870967738,5.267741935483872,4.091193548387097
202101,2021,1,6.980645161290321,0.20645161290322567,3.593548387096774,1.6139354838709676
202102,2021,2,6.249999999999999,-0.07857142857142864,3.0857142857142854,4.228892857142857
202103,2021,3,15.60645161290323,5.716129032258064,10.661290322580644,3.0605806451612905
202104,2021,4,20.02,9.07,14.545000000000003,1.9778999999999995
202105,2021,5,24.138709677419357,13.348387096774193,18.743548387096777,3.084483870967742
202106,2021,6,29.08333333333334,20.22333333333334,24.65333333333334,4.503266666666667
202107,2021,7,31.393548387096768,22.548387096774192,26.970967741935485,3.0650322580645164
202108,2021,8,31.06451612903226,22.696774193548396,26.880645161290325,7.217193548387097
202109,2021,9,27.150000000000013,18.386666666666663,22.76833333333333,3.3115333333333337
202110,2021,10,22.906451612903222,14.935483870967744,18.92096774193549,2.74058064516129
202111,2021,11,13.343333333333334,3.9033333333333338,8.623333333333333,0.7997666666666667
202112,2021,12,12.73225806451613,4.393548387096774,8.562903225806451,0.7251935483870968
202201,2022,1,5.1161290322580655,-2.3774193548387097,1.3693548387096772,2.799806451612903
202202,2022,2,11.32142857142857,0.39642857142857146,5.858928571428572,2.0054642857142855
202203,2022,3,15.464516129032258,5.01290322580645,10.238709677419356,2.129451612903226
202204,2022,4,18.686666666666667,8.773333333333333,13.729999999999999,3.031633333333333
202205,2022,5,24.20645161290323,15.348387096774191,19.77741935483871,4.85616129032258
202206,2022,6,28.80333333333334,19.736666666666665,24.269999999999996,2.1229999999999998
202207,2022,7,31.12903225806452,23.07741935483871,27.103225806451622,4.3669032258064515
202208,2022,8,31.17096774193549,22.090322580645164,26.630645161290317,1.7613225806451613
202209,2022,9,27.036666666666676,18.10333333333334,22.569999999999993,1.4058333333333335
202210,2022,10,19.038709677419348,10.01290322580645,14.525806451612901,2.256741935483871
202211,2022,11,15.856666666666673,6.869999999999999,11.363333333333333,2.1568
202212,2022,12,8.75806451612903,0.3032258064516131,4.530645161290322,2.916129032258065
